Title,Topic,Subtopic,Audience,Age_Group,Source_Organisation,URL,Format,Easy_Read_Quality,Published_Date,Date_Checked,Download_Allowed,Licence_Notes,NHS_Relevant,CAMHS_Relevant,Access_Level,Clinical_Context,Audience_Type,Accessibility_Format,Source_Type,Featured,Notes
Anxiety - Easy read information,Mental Health,Anxiety,Adults and carers,Adults,Easy Health,https://www.easyhealth.org.uk/resources/anxiety-easy-read-information,Resource page,Clear,2024-11-28,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,False,Restricted,General Mental Health,Patients,Easy Read,Charity,False,Anxiety resource; restricted/member access limits public use.
ADHD - Attention Deficit Hyperactivity Disorder,ADHD,ADHD overview and assessment,People with learning disabilities; carers; clinicians,All ages,Easy Health,https://www.easyhealth.org.uk/resources/adhd-attention-deficit-hyperactivity-disorder,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,True,Restricted,Neurodevelopmental,All,Easy Read,Charity,False,ADHD overview and assessment resource; restricted/member access limits public use.
PHQ-9 and GAD-7 easy read forms,Mental Health,Assessment forms,Clinicians; people with learning disabilities,Adults,Easy Health,https://www.easyhealth.org.uk/resources/phq-9-and-gad-7-easy-read-forms,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,General Mental Health,Clinicians,Easy Read,Charity,False,Assessment forms resource; restricted/member access limits public use.
Mental Health Patient Safety Plan,Mental Health,Safety planning,Patients; carers; inpatient staff,Adults,Easy Health,https://www.easyhealth.org.uk/resources/mental-health-patient-safety-plan,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,Crisis,Patients,Easy Read,Charity,False,Safety planning resource; restricted/member access limits public use.
Appointment communication cards,NHS Access,Healthcare communication,Patients with communication needs; carers; clinicians,All ages,Easy Health,https://www.easyhealth.org.uk/resources/appointment-communication-cards,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,True,Restricted,NHS Navigation,All,Easy Read,Charity,False,Healthcare communication resource; restricted/member access limits public use.
Health Anxiety - Easy read information,Mental Health,Health anxiety,Adults and carers,Adults,Easy Health,https://www.easyhealth.org.uk/resources/health-anxiety-easy-read-information,Resource page,Clear,2024-11-28,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,General Mental Health,Patients,Easy Read,Charity,False,Health anxiety resource; restricted/member access limits public use.
Valproate - Easy Read Information,Medication,Valproate,Patients; carers; clinicians,Adults,Easy Health,https://www.easyhealth.org.uk/resources/valproate-easy-read-information,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,Medication,Patients,Easy Read,Charity,False,Valproate resource; restricted/member access limits public use.
I am taking Lithium,Medication,Lithium,Patients; carers; clinicians,Adults,Easy Health,https://www.easyhealth.org.uk/resources/292-i-am-taking-lithium,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,Medication,Patients,Easy Read,Charity,False,Lithium resource; restricted/member access limits public use.
I am taking S.S.R.I. Antidepressants,Medication,SSRI antidepressants,Patients; carers; clinicians,Adults,Easy Health,https://www.easyhealth.org.uk/resources/293-i-am-taking-s-s-r-i-antidepressants,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,Medication,Patients,Easy Read,Charity,False,SSRI antidepressants resource; restricted/member access limits public use.
Risperidone,Medication,Risperidone,Patients; carers; clinicians,Adults,Easy Health,https://www.easyhealth.org.uk/resources/278-risperidone,Resource page,Clear,Unknown,2026-05-20,Unclear,Members-only Easy Health resource page; download permissions require account/source review,True,Potentially,Restricted,Medication,Patients,Easy Read,Charity,False,Risperidone resource; restricted/member access limits public use.
Helping you cope with procedures (Easy Read),NHS Access,Procedural anxiety,Children and young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/11636/Helping_you_cope_with_procedures_ER0365_FINAL_Jul20.pdf,PDF,Clear,2020-07,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,NHS Navigation,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF for hospital/procedure anxiety and coping strategies; highly relevant for neurodivergent and learning-disabled young people.
Giving consent (Easy Read),Consent_Capacity,Consent to treatment,Young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/9730/Giving_consent_ER0024_FINAL_Sep18.pdf,PDF,Clear,2018-09,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,Legal/Rights,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF explaining consent choices and saying yes or no to treatment.
How the NHS works (Easy Read),NHS Access,NHS navigation,Young people; parents/carers; clinicians,Children and young people,Great Ormond Street Hospital for Children NHS Foundation Trust,https://www.gosh.nhs.uk/documents/9876/How_the_NHS_works_ER0231_FINAL_Sep18.pdf,PDF,Clear,2018-09,2026-05-21,Yes,Public resource; link rather than rehost unless reuse is clear,True,True,Open,NHS Navigation,Young People,Easy Read,NHS Trust,True,Open-access GOSH Easy Read PDF explaining GP hospital appointments emergency help and becoming more independent with health.
