Organisation,Category,URL,Resource_Type,NHS_Relevant,CAMHS_Relevant,Notes
NHS England,National NHS,https://www.england.nhs.uk/publication/easy-read/,National NHS Easy Read publications,Yes,Yes,Start point for national NHS England Easy Read guidance/publications; prioritise current policy and patient-facing leaflets.
NHS England Accessible Information Standard,National NHS,https://www.england.nhs.uk/ourwork/accessibleinfo/,Guidance/standard,Yes,Yes,Core NHS accessibility standard relevant to how services provide information in accessible formats.
Easy Health,Health information charity/repository,https://www.easyhealth.org.uk/,Easy Read health leaflet repository,Yes,Yes,Large health-focused Easy Read repository; useful for physical health and mental health patient information.
Mencap Easy Read,Learning disability charity,https://www.mencap.org.uk/easyread,Easy Read advice and information,Yes,Yes,Major UK learning disability charity; useful for accessible explanations and signposting.
CHANGE,Accessible information provider/charity,https://www.changepeople.org/,Easy Read resources and co-production expertise,Yes,Yes,Specialist accessible information organisation; useful for quality standards and co-produced materials.
United Response Easy News,Learning disability charity,https://www.unitedresponse.org.uk/resource/easy-news/,Accessible news/Easy Read publications,No,Potentially,Useful model for accessible public information and current affairs in Easy Read format.
Learning Disability England,Learning disability membership organisation,https://www.learningdisabilityengland.org.uk/,Accessible information/resources,Yes,Yes,Relevant for rights-based and policy-facing accessible resources.
Foundation for People with Learning Disabilities,Learning disability charity,https://www.learningdisabilities.org.uk/,Reports/resources,Yes,Yes,Useful source for learning disability resources including health and wellbeing topics.
National Autistic Society,Autism charity,https://www.autism.org.uk/advice-and-guidance,Guidance/resources,Yes,Yes,Autism guidance; not all content is Easy Read but relevant to autism-accessible resource mapping.
Ambitious about Autism,Autism/young people charity,https://www.ambitiousaboutautism.org.uk/information-about-autism,Guidance/resources,Yes,Yes,Relevant to autistic children and young people; check for accessible and youth-facing materials.
Autistica,Autism research charity,https://www.autistica.org.uk/what-is-autism,Information/resources,Yes,Yes,Autism information and research translation; not consistently Easy Read but relevant to autism resource index.
Council for Disabled Children,Children/SEND charity,https://councilfordisabledchildren.org.uk/resources,Resources/toolkits,Yes,Yes,Relevant for disabled children, SEND, and children’s services resources.
Contact,Disabled children and families charity,https://contact.org.uk/help-for-families/information-advice-services/,Advice/resources,Yes,Yes,Family-facing information for disabled children; screen for Easy Read and accessible formats.
KIDS SENDIASS,National SENDIASS provider,https://www.kids.org.uk/sendiass,Advice/resources,No,Yes,SENDIASS-related advice and resources; useful for education/health/social care interface.
IASS Network,SENDIASS network,https://councilfordisabledchildren.org.uk/about-us-0/networks/information-advice-and-support-services-network,Advice/service directory,No,Yes,Gateway to local SEND information advice and support services; local resources may include Easy Read materials.
GOV.UK Easy Read,Central government,https://www.gov.uk/government/collections/easy-read,Government Easy Read publications,Yes,Yes,Central government Easy Read collection; useful for benefits, rights, policy and public services.
Care Quality Commission Easy Read,Regulator,https://www.cqc.org.uk/easy-read,Easy Read information,Yes,Yes,Accessible information about regulation, inspections, rights and raising concerns.
NICE Patient and public involvement,Health guidance body,https://www.nice.org.uk/about/nice-communities/nice-and-the-public,Public guidance/resources,Yes,Yes,Check for accessible versions of NICE guidance and patient-facing decision support.
NHS.uk Easy Read medicines/health information,NHS public health information,https://www.nhs.uk/,Patient information,Yes,Yes,Use targeted searches within NHS.uk for Easy Read pages and condition-specific accessible information.
NHS Trust Easy Read sections,NHS Trusts,https://www.nhs.uk/nhs-services/hospitals/find-a-hospital/,Local NHS Trust patient information,Yes,Yes,Use NHS hospital finder to identify Trust websites; many Trusts host local Easy Read patient information pages.
NELFT Accessible information,NHS Trust,https://www.nelft.nhs.uk/accessibility/,Accessibility information,Yes,Yes,Relevant local Trust for accessible information; check site search for Easy Read leaflets.
Barts Health Easy Read / accessible information,NHS Trust,https://www.bartshealth.nhs.uk/patient-information-leaflets,Patient information leaflets,Yes,Yes,Local NHS Trust leaflet repository; screen for Easy Read and CAMHS-relevant leaflets.
Great Ormond Street Hospital patient information,NHS Trust/Specialist children’s hospital,https://www.gosh.nhs.uk/conditions-and-treatments/procedures-and-treatments/,Patient information,Yes,Yes,Specialist children’s hospital information; useful for child-facing accessible materials though not all Easy Read.
NHS North East London,Integrated Care Board,https://northeastlondon.icb.nhs.uk/,Local NHS/ICB information,Yes,Yes,Relevant London ICB source; search for accessible information and Easy Read patient/public materials.
NHS South East London ICB,Integrated Care Board,https://www.selondonics.org/,Local NHS/ICB information,Yes,Yes,ICB-level public information; search for accessible formats and Easy Read versions.
Mind, Mental health charity,https://www.mind.org.uk/information-support/,Mental health information,Yes,Yes,Mental health information; not consistently Easy Read but relevant for accessible mental health resource mapping.
YoungMinds,Children and young people mental health charity,https://www.youngminds.org.uk/young-person/,Young people mental health resources,Yes,Yes,CAMHS-relevant young-person-facing resources; check for accessible/Easy Read variants.
Rethink Mental Illness, Mental health charity,https://www.rethink.org/advice-and-information/,Mental health advice/resources,Yes,Yes,Adult mental health information; screen for Easy Read/accessibility resources.
SeeAbility,Learning disability/autism charity,https://www.seeability.org/resources,Resources,Yes,Yes,Resources relevant to learning disability, autism, eye care and accessible information.
Dimensions,Learning disability/autism support provider,https://dimensions-uk.org/get-involved/campaigns/resources/,Resources/campaign materials,Yes,Yes,Learning disability/autism resources; potentially useful for health access and reasonable adjustments.
Photosymbols,Easy Read image resource/provider,https://www.photosymbols.com/,Easy Read image bank/templates,No,Yes,Useful for creating or standardising Easy Read materials; licensing may apply.
Books Beyond Words,Accessible communication charity,https://booksbeyondwords.co.uk/,Wordless/accessible picture resources,Yes,Yes,Useful for people who find pictures easier than words; relevant to CAMHS/learning disability/autism contexts.
